% Year	Month	Day	Hour	Minute	Sec	Lat	Lon	Depth	Magnitude	ID	parID	Gen	OrigTime	distToParent	nthERFIndex	FSS_ID	GridNodeIndex
2018	01	03	20	13	02.480	34.467264885354886	-117.6735647514138	6.206627090744072	3.05	2381	1380	2	1515010382480	2.989205581941863	635161	-1	1728
2018	01	03	20	15	58.186	34.291779638667016	-117.48523903165186	6.902269761065466	2.75	1984	1103	2	1515010558186	0.03111599064908297	598795	-1	1558
2018	01	03	20	19	43.900	34.371298383839644	-117.66556524661151	0.6924964985007321	2.75	1456	0	1	1515010783900	0.2190153845340722	616883	-1	1642
2018	01	03	20	28	54.599	34.23423230369748	-117.38588546087999	5.545302583806876	3.55	521	0	1	1515011334599	0.5137595152669957	582522	-1	1474
2018	01	03	20	33	43.573	34.42463079828648	-117.87286133293455	5.181550180011277	2.55	300	0	1	1515011623573	3.1878868256121398	616497	-1	1640
2018	01	03	20	46	56.723	34.35339853281985	-117.63812879037579	4.6862563817869125	2.75	1010	0	1	1515012416723	1.932357599639361	598717	-1	1557
2018	01	03	21	10	54.373	34.234597581879285	-117.38598417032	5.594400085666499	2.75	2382	521	2	1515013854373	0.06436349217195998	582592	-1	1474
2018	01	03	21	38	56.188	34.34098051127834	-117.51510301068457	5.335018448286592	3.05	2180	2127	3	1515015536188	0.7112934102127624	598876	-1	1558
2018	01	03	22	06	00.685	34.4265242345202	-117.82799207940168	8.162498494332596	3.4499999999999997	1242	0	1	1515017160685	0.4009958194437488	616776	-1	1641
2018	01	03	22	26	50.463	34.49780085316528	-117.93468624688907	0.33082814641973446	2.65	1883	1290	2	1515018410463	2.8032271467595433	634697	-1	1726
2018	01	03	22	32	37.045	34.443735509451386	-117.88887746314467	5.413897651792126	2.75	872	0	1	1515018757045	1.473438904515165	616423	-1	1640
2018	01	03	22	38	33.253	34.330531069317736	-117.56717888612249	12.370208079863023	2.75	1374	0	1	1515019113253	0.29630535433048294	598756	-1	1557
2018	01	03	22	51	31.992	34.31096285675995	-117.41544790609233	8.750374952646805	2.55	2107	1003	2	1515019891992	8.12632455043923	599063	-1	1559
2018	01	03	22	54	53.517	34.327810143542294	-117.58627604113167	10.980238979209824	2.55	372	0	1	1515020093517	0.32545243590628725	598715	-1	1557
2018	01	03	23	40	26.184	34.300296186994444	-117.55369050874211	4.961669645121463	2.55	587	0	1	1515022826184	2.7070839327641196	598793	-1	1558
2018	01	03	23	54	41.028	34.29502472818025	-117.49627542264187	8.463743790123576	2.65	1597	0	1	1515023681028	0.25641133922541576	598794	-1	1558
2018	01	04	00	37	33.867	34.409776460846686	-117.79320954178586	7.386053822050544	3.25	1756	0	1	1515026253867	1.147701556407131	616774	-1	1641
2018	01	04	01	00	41.567	34.41555857910021	-117.76717756473222	11.238429585528486	3.15	1703	0	1	1515027641567	0.02384791119100938	616697	-1	1641
